"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"322	寄	キ、よ-る、よ-せる	""let approach",,,
"323	規	キ	""standard; measure""",,,
"324	亀	キ、かめ	""turtle",,,
"325	喜	キ、よろこ-ぶ	""rejoice",,,
"326	幾	キ、いく	""how many",,,
"327	揮	キ	""shake",,,
"328	期	キ、[ゴ]	""time",,,
"329	棋	キ	""Japanese chess""",,,
"330	貴	キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ	""value",,,
"331	棄	キ	""throw away",,,
"332	毀	キ	""break",,,
"333	旗	キ、はた	""flag",,,
"334	器	キ、うつわ	""container; utensil",,,
"335	畿	キ	""capital; capital suburbs""",,,
"336	輝	キ、かがや-く	""shine",,,
"337	機	キ、はた	""opportunity; occasion",,,
"338	騎	キ	""riding on horses; counter for horsemen""",,,
"339	技	ギ、わざ	""art",,,
"340	宜	ギ	""good",,,
"341	偽	ギ、いつわ-る、にせ	""lie",,,
"342	欺	ギ、あざむ-く	""deceive",,,
"343	義	ギ	""justice",,,
"344	疑	ギ、うたが-う	""doubt; distrust; be suspicious of""",,,
"345	儀	ギ	""rule; ceremony; case",,,
"346	戯	ギ、たわむ-れる	""play",,,
"347	擬	ギ	""aim (a gun) at; nominate for office; imitate",,,
"348	犠	ギ	sacrifice",,,
"349	議	ギ	""consultation",,,
"350	菊	キク	chrysanthemum",,,
"351	吉	キチ、キツ	""good luck; joy",,,
"352	喫	キツ	""eat",,,
"353	詰	キツ、つ-める、つ-まる、つ-む	""be pressed in",,,
"354	却	キャク	""instead",,,
"355	客	キャク、カク	""visitor; guest",,,
"356	脚	キャク、[キャ]、あし	""leg",,,
"357	逆	ギャク、さか、さか-らう	""reverse",,,
"358	虐	ギャク、しいた-げる	""oppress",,,
"359	九	キュウ、ク、ここの、ここの-つ	nine",,,
"360	久	キュウ、[ク]、ひさ-しい	""long",,,
"361	及	キュウ、およ-ぶ、およ-び、およ-ぼす	""exert",,,
"362	弓	キュウ、ゆみ	""bow; violin bow""",,,
"363	丘	キュウ、おか	""hill",,,
"364	旧	キュウ	""old things; old times; old friend; old calendar; former",,,
"365	休	キュウ、やす-む、やす-まる、やす-める	""rest; take a day off; be absent; retire",,,
"366	吸	キュウ、す-う	""inhale; imbibe",,,
"367	朽	キュウ、く-ちる	""decay",,,
"368	臼	キュウ、うす	""mortar",,,
"369	求	キュウ、もと-める	""want",,,
"370	究	キュウ、きわ-める	""investigate thoroly",,,
"371	泣	キュウ、な-く	""cry",,,
"372	急	キュウ、いそ-ぐ	""emergency; suddenness; danger; haste; steep""",,,
"373	級	キュウ	""grade",,,
"374	糾	キュウ	""ask",,,
"375	宮	キュウ、グウ、[ク]、みや	""constellations (of the zodiac); palace""",,,
"376	救	キュウ、すく-う	""save",,,
"377	球	キュウ、たま	""globe",,,
"378	給	キュウ	""wage; gift; wage grade""",,,
"379	嗅	キュウ、か-ぐ	""smell",,,
"380	窮	キュウ、きわ-める、きわ-まる	""be destitute; suffer; be perplexed; be cornered""",,,
"381	牛	ギュウ、うし	""beef",,,
"382	去	キョ、コ、さ-る	""leave",,,
"383	巨	キョ	""big",,,
"384	居	キョ、い-る	residence",,,
"385	拒	キョ、こば-む	""refuse",,,
"386	拠	キョ、コ	""be based on",,,
"387	挙	キョ、あ-げる、あ-がる	""plan",,,
"388	虚	キョ、[コ]	""emptiness; unpreparedness; crack",,,
"389	許	キョ、ゆる-す	""permit",,,
"390	距	キョ	""be distant""",,,
"391	魚	ギョ、うお、さかな	fish",,,
"392	御	ギョ、ゴ、おん	""imperial honorary prefix; honorific prefix""",,,
"393	漁	ギョ、リョウ	""fishing; fishery; catch",,,
"394	凶	キョウ	""evil; bad luck; disaster; bad harvest""",,,
"395	共	キョウ、とも	""both; neither (with neg.); all; and",,,
"396	叫	キョウ、さけ-ぶ	""shout",,,
"397	狂	キョウ、くる-う、くる-おしい	lunatic",,,
"398	京	キョウ、ケイ	""ten quadrillion; captital",,,
"399	享	キョウ	""receive",,,
